type	weight	node_a	node_b	shared
entity	3	zshbuiltins:SHELL BUILTIN COMMANDS › disable [ -afmprs ] name ...	zshbuiltins:SHELL BUILTIN COMMANDS › enable [ -afmprs ] name ...	EXTENDED_GLOB KSH_GLOB
entity	3	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	zshbuiltins:SHELL BUILTIN COMMANDS › print [ -abcDilmnNoOpPrsSz ] [ -u n ] [ -f format ] [ -C cols ]	SEQUENCES EXPANSION PROMPT
entity	2	zshmisc:RESERVED WORDS	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	IGNORE_BRACES IGNORE_CLOSE_BRACES
entity	2	zshmisc:ERRORS	zshmisc:CONDITIONAL EXPRESSIONS	POSIX POSIX_BUILTINS
entity	2	zshmisc:ERRORS	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	NOMATCH BAD_PATTERN
entity	2	zshmisc:REDIRECTIONS WITH NO COMMAND	zshparam:PARAMETERS USED BY THE SHELL	NULLCMD READNULLCMD
entity	2	zshmisc:SPECIAL FUNCTIONS › Hook Functions	zshbuiltins:SHELL BUILTIN COMMANDS › fc -ARWI [ filename ]	SHARE_HISTORY HISTFILE
entity	2	zshmisc:SPECIAL FUNCTIONS › Trap Functions	zshparam:PARAMETERS SET BY THE SHELL	POSIX SIGINT
entity	2	zshmisc:SPECIAL FUNCTIONS › Trap Functions	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	DEBUG_BEFORE_CMD SIGINT
entity	2	zshmisc:JOBS	zshoptions:SINGLE LETTER OPTIONS › Default set	MONITOR NOTIFY
entity	2	zshmisc:SIGNALS	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	ERR_EXIT MULTIOS
entity	2	zshmisc:SIGNALS	zshoptions:SINGLE LETTER OPTIONS › Default set	MONITOR ERR_EXIT
entity	2	zshmisc:SIGNALS	zshbuiltins:SHELL BUILTIN COMMANDS › trap [ arg ] [ sig ... ]	ERR_EXIT TRAPNAL
entity	2	zshmisc:ARITHMETIC EVALUATION	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	MULTIBYTE FORCE_FLOAT
entity	2	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	EXTENDED_GLOB PCRE
entity	2	zshmisc:CONDITIONAL EXPRESSIONS	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	ARITHMETIC EVALUATION
entity	2	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshparam:PARAMETERS SET BY THE SHELL	SHLVL POSIX
entity	2	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshparam:PARAMETERS USED BY THE SHELL	HOME RPS2
entity	2	zshmisc:SIMPLE PROMPT ESCAPES › Shell state	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	POSIX HOME
entity	2	zshmisc:CONDITIONAL SUBSTRINGS IN PROMPTS	zshparam:PARAMETERS SET BY THE SHELL	SHLVL SECONDS
entity	2	zshexpn:HISTORY EXPANSION › Modifiers	zshparam:PARAMETERS USED BY THE SHELL	PATH EXTENDED_GLOB
entity	2	zshexpn:HISTORY EXPANSION › Modifiers	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	CHASE_LINKS CHASE_DOTS
entity	2	zshexpn:HISTORY EXPANSION › Modifiers	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	HIST_SUBST_PATTERN EXTENDED_GLOB
entity	2	zshexpn:PARAMETER EXPANSION	zshexpn:FILENAME GENERATION › Globbing Flags	KSH_ARRAYS MULTIBYTE
entity	2	zshexpn:PARAMETER EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	MULTIBYTE GLOB_SUBST
entity	2	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshparam:ARRAY PARAMETERS › Subscript Flags	KSH_ARRAYS GLOB_SUBST
entity	2	zshexpn:PARAMETER EXPANSION › Parameter Expansion Flags	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	MULTIBYTE PATH
entity	2	zshexpn:FILENAME EXPANSION	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	HOME PUSHD_MINUS
entity	2	zshexpn:FILENAME EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › cd [ -qsLP ] {+|-}n	HOME PUSHD_MINUS
entity	2	zshexpn:FILENAME EXPANSION	zshbuiltins:SHELL BUILTIN COMMANDS › pushd [ -qsLP ] {+|-}n	HOME PUSHD_MINUS
entity	2	zshexpn:FILENAME EXPANSION › Notes	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	EQUALS MAGIC_EQUAL_SUBST
entity	2	zshexpn:FILENAME GENERATION	zshoptions:SINGLE LETTER OPTIONS › Default set	NULL_GLOB GLOB_DOTS
entity	2	zshexpn:FILENAME GENERATION › Glob Operators	zshparam:PARAMETERS USED BY THE SHELL	EXTENDED_GLOB WORDCHARS
entity	2	zshparam:ARRAY PARAMETERS › Array Subscripts	zshparam:POSITIONAL PARAMETERS	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
entity	2	zshparam:ARRAY PARAMETERS › Subscript Flags	zshparam:POSITIONAL PARAMETERS	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
entity	2	zshparam:POSITIONAL PARAMETERS	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	KSH_ARRAYS KSH_ZERO_SUBSCRIPT
entity	2	zshparam:PARAMETERS SET BY THE SHELL	zshparam:PARAMETERS USED BY THE SHELL	STTY ZSH_VERSION
entity	2	zshparam:PARAMETERS SET BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › getopts optstring name [ arg ... ]	OPTARG OPTIND
entity	2	zshparam:PARAMETERS USED BY THE SHELL	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	MULTIBYTE EXTENDED_GLOB
entity	2	zshparam:PARAMETERS USED BY THE SHELL	zshbuiltins:SHELL BUILTIN COMMANDS › read [ -rszpqAclneE ] [ -t [ num ] ] [ -k [ num ] ] [ -d delim ]	MULTIBYTE REPLY
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	zshoptions:OPTION ALIASES	CHASE_LINKS SHIN_STDIN
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Changing Directories	zshbuiltins:SHELL BUILTIN COMMANDS › setopt [ {+|-}options | {+|-}o option_name ] [ -m ] [ name ... ]	POSIX SHIN_STDIN
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	MULTIBYTE KSH_TYPESET
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Expansion and Globbing	zshbuiltins:SHELL BUILTIN COMMANDS › enable [ -afmprs ] name ...	KSH_GLOB EXTENDED_GLOB
entity	2	zshoptions:DESCRIPTION OF OPTIONS › History	zshoptions:OPTION ALIASES	APPEND_HISTORY BANG_HIST
entity	2	zshoptions:DESCRIPTION OF OPTIONS › History	zshoptions:SINGLE LETTER OPTIONS › Default set	HIST_IGNORE_DUPS HIST_IGNORE_SPACE
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Scripts and Functions	zshbuiltins:SHELL BUILTIN COMMANDS › typeset -f [ {+|-}TUkmtuz ] [ + ] [ name ... ]	TYPESET_SILENT TYPESET_TO_UNSET
entity	2	zshoptions:DESCRIPTION OF OPTIONS › Shell Emulation	zshbuiltins:SHELL BUILTIN COMMANDS › getopts optstring name [ arg ... ]	OPTIND POSIX_BUILTINS
